Regra;Severidade;Peso;Arquivo;Linha;Código
WOW007;Baixo;15;UI/Coach.lua;16;"local p = RILU.UI and RILU.UI.CreateCard and RILU.UI.CreateCard(parent, w, h) or CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Coach.lua;26;"local row = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Coach.lua;41;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Coach.lua;52;"f.refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Components.lua;96;"local f = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Components.lua;110;"local f = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Components.lua;136;"local f = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Components.lua;143;"local f = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Components.lua;225;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Components.lua;230;"local b = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Components.lua;242;"local row = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Components.lua;264;"row.action = CreateFrame(""Button"", nil, row, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Dashboard.lua;251;"o = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Dashboard.lua;364;"local h = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Dashboard.lua;379;"local box = RILU.UI and RILU.UI.CreateCard and RILU.UI.CreateCard(h, w, hgt) or CreateFrame(""Frame"", nil, h)"
WOW007;Baixo;15;UI/Dashboard.lua;586;"local f = CreateFrame(""Frame"", ""RILUniversalDashboard"", UIParent, ""BasicFrameTemplateWithInset"")"
WOW007;Baixo;15;UI/Dashboard.lua;612;"local h = CreateFrame(""Frame"", nil, f, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Dashboard.lua;646;"local pb = CreateFrame(""Button"", nil, h, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Dashboard.lua;680;"local side = CreateFrame(""Frame"", nil, f)"
WOW007;Baixo;15;UI/Dashboard.lua;700;"local button = CreateFrame(""Button"", nil, side, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Dashboard.lua;715;"local textScroll = CreateFrame(""ScrollFrame"", nil, f, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;UI/Dashboard.lua;720;"local eb = CreateFrame(""EditBox"", nil, textScroll)"
WOW007;Baixo;15;UI/Dashboard.lua;733;"local cf = CreateFrame(""Frame"", nil, f)"
WOW007;Baixo;15;UI/Evolution.lua;16;"local row = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Evolution.lua;31;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Evolution.lua;39;"f.capture = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;104;"local p = CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;117;"local row = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;134;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;146;"local refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;186;"local row = CreateFrame(""Frame"", nil, heatPanel)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;201;"local row = CreateFrame(""Frame"", nil, consPanel)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;235;"local scroll = CreateFrame(""ScrollFrame"", nil, f)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;240;"local child = CreateFrame(""Frame"", nil, scroll)"
WOW007;Baixo;15;UI/MentalAnalyzer.lua;258;"local row = CreateFrame(""Frame"", nil, child)"
WOW007;Baixo;15;UI/Mentor.lua;7;"local p = RILU.UI and RILU.UI.CreateCard and RILU.UI.CreateCard(parent, w, h) or CreateFrame(""Frame"", nil, parent, ""BackdropTemplate"")"
WOW007;Baixo;15;UI/Mentor.lua;18;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Mentor.lua;26;"f.refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Minimap.lua;40;"local btn = CreateFrame(""Button"", BUTTON_NAME, MinimapCluster or Minimap)"
WOW007;Baixo;15;UI/Options.lua;61;"local b = CreateFrame(""Button"", nil, parent, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Options.lua;70;"local cb = CreateFrame(""CheckButton"", nil, parent, ""InterfaceOptionsCheckButtonTemplate"")"
WOW007;Baixo;15;UI/Options.lua;87;"local panel = CreateFrame(""Frame"", ""RILUniversalOptionsPanel"")"
WOW007;Baixo;15;UI/Options.lua;200;"local ev = CreateFrame(""Frame"")"
WOW007;Baixo;15;UI/Reports.lua;19;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/Reports.lua;29;"local b = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/Reports.lua;57;"f.scroll = CreateFrame(""ScrollFrame"", nil, f.card, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;UI/Reports.lua;60;"f.edit = CreateFrame(""EditBox"", nil, f.scroll)"
WOW007;Baixo;15;UI/SmartSetup.lua;221;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/SmartSetup.lua;242;"local refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/SmartSetup.lua;249;"local undo = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/SmartSetup.lua;256;"local applyAll = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/SmartSetup.lua;277;"local scroll = CreateFrame(""ScrollFrame"", nil, f, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;UI/SmartSetup.lua;282;"local child = CreateFrame(""Frame"", nil, scroll)"
WOW007;Baixo;15;UI/SmartSetup.lua;294;"local row = CreateFrame(""Frame"", nil, child)"
WOW007;Baixo;15;UI/SmartSetup.lua;344;"row.apply = CreateFrame(""Button"", nil, row, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/SmartSetup.lua;358;"row.iconFrame = CreateFrame(""Frame"", nil, row)"
WOW007;Baixo;15;UI/VisualPages.lua;383;"local f = CreateFrame(""Frame"", nil, parent)"
WOW007;Baixo;15;UI/VisualPages.lua;395;"local refresh = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/VisualPages.lua;402;"local setMain = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/VisualPages.lua;424;"local clearMain = CreateFrame(""Button"", nil, f, ""UIPanelButtonTemplate"")"
WOW007;Baixo;15;UI/VisualPages.lua;438;"local scroll = CreateFrame(""ScrollFrame"", nil, f, ""UIPanelScrollFrameTemplate"")"
WOW007;Baixo;15;UI/VisualPages.lua;443;"local child = CreateFrame(""Frame"", nil, scroll)"
WOW007;Baixo;15;UI/VisualPages.lua;453;"local row = CreateFrame(""Frame"", nil, child)"
WOW008;Baixo;10;Core/BehaviorAnalyzer.lua;175;"frame:RegisterEvent(""UNIT_SPELLCAST_SUCCEEDED"")"
WOW009;Baixo;10;Core/Init.lua;35;if initAttempts < MAX_INIT_ATTEMPTS and C_Timer and C_Timer.After then
WOW009;Baixo;10;Core/Init.lua;37;C_Timer.After(2, performDeferredRuntimeInit)
WOW009;Baixo;10;Core/Init.lua;67;if C_Timer and C_Timer.After then
WOW009;Baixo;10;Core/Init.lua;68;C_Timer.After(delay or 5, performDeferredRuntimeInit)
WOW008;Baixo;10;Core/Init.lua;74;"f:RegisterEvent(""ADDON_LOADED"")"
WOW008;Baixo;10;Core/Init.lua;75;"f:RegisterEvent(""PLAYER_REGEN_DISABLED"")"
WOW008;Baixo;10;Core/Init.lua;76;"f:RegisterEvent(""PLAYER_REGEN_ENABLED"")"
WOW008;Baixo;10;Core/Init.lua;77;"f:RegisterEvent(""PLAYER_ENTERING_WORLD"")"
WOW008;Baixo;10;Core/Init.lua;78;"f:RegisterEvent(""ZONE_CHANGED_NEW_AREA"")"
WOW008;Baixo;10;Core/Init.lua;79;"f:RegisterEvent(""PLAYER_SPECIALIZATION_CHANGED"")"
WOW008;Baixo;10;Core/Init.lua;80;"f:RegisterEvent(""PLAYER_LOGOUT"")"
WOW009;Baixo;10;Engine/OptimizationEngine.lua;166;if C_Timer and C_Timer.After then
WOW009;Baixo;10;Engine/OptimizationEngine.lua;167;C_Timer.After(0.25, function()
WOW009;Baixo;10;Engine/OptimizationEngine.lua;202;if C_Timer and C_Timer.After then C_Timer.After(0.25, function() if RILU.SmartSetup and RILU.SmartSetup.Refresh then RILU.SmartSetup.Refresh() end end) end
WOW009;Baixo;10;UI/AutoOptimize.lua;87;if C_Timer and C_Timer.After then C_Timer.After(0.35, function() RILU.AutoOptimizeUI.Refresh() end) else RILU.AutoOptimizeUI.Refresh() end
WOW009;Baixo;10;UI/AutoOptimize.lua;99;if C_Timer and C_Timer.After then C_Timer.After(0.35, function() RILU.AutoOptimizeUI.Refresh() end) else RILU.AutoOptimizeUI.Refresh() end
WOW008;Baixo;10;UI/Options.lua;201;"ev:RegisterEvent(""ADDON_LOADED"")"
WOW009;Baixo;10;UI/SmartSetup.lua;180;if C_Timer and C_Timer.After then C_Timer.After(0.25, function() if RILU.SmartSetup and RILU.SmartSetup.Refresh then RILU.SmartSetup.Refresh() end end) end
WOW009;Baixo;10;UI/SmartSetup.lua;351;C_Timer.After(0.2, function() RILU.SmartSetup.Refresh() end)
